X,Y,Mag
4883404.5,652767.51,55100.7316
4883404.53,652767.62,55100.7061
4883404.55,652767.73,55100.7128
4883404.58,652767.84,55100.8582
4883404.61,652767.96,55100.9776
4883404.64,652768.08,55100.9618
4883404.66,652768.19,55100.9496
4883404.68,652768.3,55100.9827
4883404.7,652768.4,55100.9695
4883404.71,652768.51,55100.9559
4883404.74,652768.62,55101.0106
4883404.75,652768.71,55101.0658
4883404.75,652768.81,55101.073
4883404.77,652768.91,55101.0557
4883403.41,652769.21,55100.7057
4883403.38,652769.11,55100.5964
4883403.36,652768.99,55100.6278
4883403.34,652768.88,55100.7215
4883403.33,652768.76,55100.7795
4883403.32,652768.64,55100.8312
4883403.32,652768.64,55100.8414
4883403.29,652768.4,55100.7657
4883403.27,652768.28,55100.6848
4883403.26,652768.16,55100.6493
4883403.26,652768.04,55100.6093
4883403.24,652767.92,55100.5822
4883403.22,652767.81,55100.6133
4883403.21,652767.71,55100.6397
4883403.19,652767.6,55100.6179
4883403.18,652767.5,55100.6011
4883403.17,652767.4,55100.594
4883403.15,652767.31,55100.5631
4883403.14,652767.22,55100.5964
4883403.13,652767.12,55100.7387
4883403.11,652767.03,55100.8351
4883403.1,652766.93,55100.8338
4883403.09,652766.83,55100.8587
4883403.07,652766.73,55100.9317
4883403.05,652766.62,55100.9978
4883403.02,652766.52,55101.0596
4883403,652766.41,55101.1153
4883402.97,652766.3,55101.1478
4883402.95,652766.18,55101.1767
4883402.92,652766.08,55101.2537
4883402.91,652765.98,55101.4327
4883402.89,652765.87,55101.6637
4883402.86,652765.77,55101.8432
4883402.84,652765.67,55102.0302
4883402.81,652765.56,55102.3048
4883402.79,652765.46,55102.5708
4883402.75,652765.35,55102.7557
4883402.73,652765.24,55102.963
4883402.69,652765.13,55103.353
4883402.67,652765.02,55103.9566
4883402.64,652764.91,55104.6434
4883402.62,652764.8,55105.2921
4883402.59,652764.69,55105.9471
4883402.56,652764.58,55106.7598
4883402.52,652764.48,55107.6905
4883402.49,652764.37,55108.5171
4883402.46,652764.26,55109.2722
4883402.43,652764.15,55110.1117
4883402.4,652764.06,55110.8456
4883402.37,652763.95,55111.274
4883402.35,652763.85,55111.5282
4883402.32,652763.74,55111.613
4883402.3,652763.64,55111.3434
4883402.29,652763.53,55110.7701
4883402.27,652763.43,55110.0038
4883402.25,652763.32,55109.0361
4883402.22,652763.23,55107.9641
4883402.21,652763.13,55106.9849
4883402.2,652763.03,55106.1826
4883402.17,652762.93,55105.4217
4883402.15,652762.83,55104.6281
4883402.12,652762.73,55103.9494
4883402.1,652762.64,55103.4383
4883402.09,652762.54,55102.988
4883402.06,652762.45,55102.516
4883402.04,652762.35,55102.0613
4883402.04,652762.35,55101.7584
4883402.01,652762.17,55101.5922
4883402,652762.07,55101.3965
4883401.97,652761.99,55101.1744
4883401.95,652761.89,55101.0261
4883401.92,652761.79,55100.8691
4883401.91,652761.7,55100.6453
4883401.89,652761.6,55100.4921
4883401.86,652761.52,55100.4311
4883401.85,652761.42,55100.3393
4883401.82,652761.32,55100.2266
4883401.8,652761.22,55100.1227
4883401.79,652761.12,55099.981
4883401.76,652761.02,55099.8613
4883401.74,652760.93,55099.8441
4883401.72,652760.83,55099.8711
4883401.69,652760.73,55099.843
4883401.66,652760.63,55099.7385
4883401.63,652760.52,55099.6264
4883401.6,652760.42,55099.5582
4883401.58,652760.31,55099.5123
4883401.55,652760.21,55099.4715
4883401.52,652760.11,55099.4565
4883401.49,652759.99,55099.4723
4883401.47,652759.89,55099.4559
4883401.43,652759.78,55099.3805
4883401.41,652759.68,55099.3435
4883401.37,652759.58,55099.3723
4883401.35,652759.47,55099.338
4883401.31,652759.37,55099.2184
4883401.29,652759.27,55099.1684
4883401.25,652759.17,55099.2495
4883401.23,652759.08,55099.3459
4883401.19,652758.98,55099.3635
4883401.17,652758.88,55099.3253
4883401.13,652758.78,55099.261
4883401.11,652758.69,55099.168
4883401.08,652758.59,55099.0865
4883401.06,652758.49,55099.0879
4883401.03,652758.39,55099.187
4883401.01,652758.3,55099.2795
4883401,652758.2,55099.2031
4883400.98,652758.11,55098.9751
4883400.97,652758.02,55098.8239
4883400.96,652757.92,55098.8414
4883400.94,652757.81,55098.8824
4883400.94,652757.71,55098.8564
4883400.94,652757.6,55098.8126
4883400.92,652757.49,55098.7676
4883400.92,652757.39,55098.6729
4883400.92,652757.29,55098.5502
4883400.92,652757.19,55098.5016
4883400.9,652757.08,55098.5406
4883400.9,652757,55098.5565
4883400.89,652756.91,55098.4566
4883400.89,652756.82,55098.2616
4883400.87,652756.73,55098.0898
4883400.87,652756.64,55098.0406
4883400.87,652756.55,55098.0889
4883400.86,652756.46,55098.1334
4883400.86,652756.46,55098.1183
4883400.85,652756.3,55098.1137
4883400.86,652756.23,55098.1762
4883400.86,652756.16,55098.1426
4883400.86,652756.08,55097.9472
4883400.86,652756,55097.8809
4883400.85,652755.92,55098.0483
4883400.85,652755.84,55098.1207
4883400.85,652755.75,55097.9411
4883400.84,652755.67,55097.7612
4883400.84,652755.59,55097.7362
4883400.82,652755.51,55097.7714
4883400.82,652755.42,55097.8151
4883400.81,652755.34,55097.8164
4883400.79,652755.26,55097.7083
4883400.78,652755.17,55097.5701
4883400.77,652755.08,55097.48
4883400.76,652754.99,55097.4273
4883400.74,652754.9,55097.4456
4883400.73,652754.81,55097.5436
4883400.7,652754.72,55097.5871
4883400.68,652754.62,55097.4673
4883400.67,652754.53,55097.3141
4883400.65,652754.43,55097.3106
4883400.64,652754.33,55097.3827
4883400.62,652754.23,55097.3684
4883400.6,652754.13,55097.3196
4883400.59,652754.03,55097.3307
4883400.56,652753.92,55097.3323
4883400.54,652753.82,55097.3021
4883400.53,652753.7,55097.2933
4883400.5,652753.59,55097.2141
4883400.48,652753.48,55097.0667
4883400.45,652753.37,55097.0647
4883400.43,652753.26,55097.2124
4883400.39,652753.15,55097.3546
4883400.35,652753.03,55097.42
4883400.32,652752.92,55097.3223
4883400.29,652752.8,55097.1528
4883400.26,652752.69,55097.1692
4883400.23,652752.57,55097.3798
4883400.2,652752.45,55097.5789
4883400.18,652752.33,55097.6001
4883400.16,652752.22,55097.5017
4883400.14,652752.11,55097.5256
4883400.13,652752.01,55097.6727
4883400.13,652751.9,55097.7467
4883400.11,652751.8,55097.7716
4883400.11,652751.7,55097.8617
4883400.11,652751.6,55097.9588
4883400.11,652751.5,55097.9811
4883400.09,652751.39,55097.9805
4883400.08,652751.3,55097.9922
4883400.07,652751.2,55097.964
4883400.05,652751.1,55097.9037
4883400.04,652751.01,55097.8982
4883400.03,652750.9,55098.0192
4883400.01,652750.8,55098.1789
4883400,652750.7,55098.1943
4883399.99,652750.6,55098.115
4883399.97,652750.49,55098.1065
4883399.96,652750.39,55098.1442
