30.24,7.39,-6.7161
30.25,7.49,0.819
30.27,7.59,-0.866
30.29,7.69,-3.5455
30.3,7.78,-1.4872
30.33,7.89,-1.1576
30.35,7.99,-2.3088
30.37,8.09,-1.9571
30.39,8.18,-1.5343
30.4,8.28,-1.8191
30.41,8.37,-1.788
30.43,8.47,-1.5592
30.43,8.56,-1.6619
30.44,8.66,-1.8387
30.46,8.76,-1.825
30.47,8.87,-1.7231
30.47,8.96,-1.6587
30.49,9.06,-1.6856
30.5,9.16,-1.7587
30.51,9.26,-1.7658
30.53,9.36,-1.7146
30.54,9.46,-1.6815
30.55,9.56,-1.669
30.57,9.64,-1.678
30.59,9.74,-1.7045
30.6,9.83,-1.7007
30.63,9.91,-1.6835
30.64,10.01,-1.7255
30.66,10.11,-1.8036
30.68,10.19,-1.8142
30.69,10.28,-1.7801
30.72,10.38,-1.8329
30.74,10.47,-1.9248
30.75,10.58,-1.9184
30.78,10.67,-1.898
30.82,10.77,-1.9721
30.85,10.89,-2.0352
30.88,10.99,-2.0044
30.91,11.1,-1.9747
30.94,11.2,-2.0006
30.96,11.32,-2.0013
31,11.42,-1.9969
31.02,11.53,-2.1121
31.05,11.63,-2.2703
31.07,11.75,-2.2926
31.1,11.86,-2.2498
31.12,11.96,-2.3091
31.15,12.07,-2.3975
31.17,12.18,-2.3693
31.19,12.28,-2.2539
31.22,12.38,-2.172
31.23,12.47,-2.2139
31.25,12.57,-2.3322
31.26,12.65,-2.3932
31.27,12.75,-2.3774
31.29,12.85,-2.3393
31.3,12.93,-2.3028
31.31,13.03,-2.2841
31.33,13.13,-2.2703
31.34,13.23,-2.2146
31.36,13.33,-2.1239
31.38,13.44,-2.0404
31.38,13.53,-1.9532
31.4,13.64,-1.9159
31.42,13.75,-2.0156
31.43,13.86,-2.1046
31.44,13.98,-2.0008
31.47,14.08,-1.8198
31.48,14.2,-1.7235
31.51,14.29,-1.6688
31.52,14.39,-1.6138
31.53,14.49,-1.6225
31.56,14.59,-1.669
31.57,14.69,-1.6503
31.59,14.79,-1.5606
31.61,14.87,-1.4525
31.63,14.97,-1.3561
31.66,15.06,-1.2991
31.68,15.15,-1.3017
31.71,15.24,-1.2772
31.73,15.34,-1.1029
31.76,15.42,-0.865
31.78,15.51,-0.7157
31.79,15.61,-0.6377
31.82,15.69,-0.6047
31.84,15.79,-0.6005
31.87,15.88,-0.5411
31.89,15.97,-0.4308
31.9,16.06,-0.3223
31.94,16.16,-0.2189
31.96,16.24,-0.1842
31.98,16.34,-0.2331
31.99,16.43,-0.2292
32.02,16.52,-0.1684
32.04,16.62,-0.1909
32.07,16.7,-0.2498
32.09,16.8,-0.2066
32.11,16.9,-0.1176
32.14,16.98,-0.0933
32.16,17.08,-0.0924
32.17,17.18,-0.0844
32.2,17.27,-0.141
32.21,17.37,-0.25
32.24,17.45,-0.3033
32.25,17.54,-0.2695
32.27,17.64,-0.2453
32.3,17.73,-0.322
32.32,17.83,-0.431
32.34,17.92,-0.4458
32.36,18.01,-0.4064
32.39,18.11,-0.432
32.4,18.2,-0.4955
32.41,18.29,-0.5235
32.43,18.39,-0.5724
32.45,18.49,-0.6787
32.46,18.59,-0.7116
32.48,18.69,-0.5887
32.5,18.79,-0.4597
32.51,18.89,-0.4602
32.53,18.99,-0.4888
32.54,19.1,-0.4285
32.57,19.2,-0.3554
32.58,19.3,-0.3779
32.6,19.4,-0.4342
32.63,19.5,-0.3925
32.65,19.6,-0.2619
32.67,19.69,-0.1363
32.69,19.8,-0.0686
32.72,19.89,-0.0887
32.74,20,-0.1652
32.75,20.09,-0.2046
32.77,20.18,-0.1715
32.78,20.29,-0.0959
32.8,20.37,-0.0214
32.82,20.48,0.0075
32.84,20.57,0.0102
32.86,20.67,0.0408
32.88,20.76,0.0948
32.9,20.87,0.1523
32.93,20.97,0.2045
32.95,21.07,0.2308
32.99,21.16,0.2527
33,21.26,0.3273
33.03,21.36,0.4397
33.05,21.46,0.4778
33.08,21.56,0.4103
33.09,21.66,0.3699
33.11,21.77,0.4137
33.13,21.87,0.4419
33.15,21.97,0.4455
33.18,22.07,0.5079
33.2,22.17,0.5683
33.22,22.26,0.5552
33.24,22.36,0.5702
33.25,22.45,0.6317
33.28,22.55,0.6161
33.3,22.64,0.5161
33.33,22.74,0.4399
33.35,22.83,0.4951
33.37,22.93,0.6641
33.4,23.03,0.7525
33.43,23.12,0.6818
33.46,23.22,0.6106
33.48,23.31,0.6412
33.51,23.41,0.7136
33.53,23.51,0.7526
33.55,23.61,0.7118
33.57,23.7,0.5904
33.6,23.81,0.516
33.62,23.89,0.6127
33.63,23.98,0.7805
33.65,24.07,0.8416
33.66,24.16,0.779
33.67,24.25,0.7017
33.69,24.35,0.6872
33.69,24.44,0.708
33.7,24.53,0.734
33.71,24.63,0.7765
33.72,24.72,0.7792
33.73,24.82,0.7101
33.74,24.92,0.715
33.76,25.02,0.8318
33.78,25.12,0.8069
33.79,25.22,0.6159
33.82,25.33,0.5942
33.83,25.44,0.7832
33.86,25.55,0.8714
33.88,25.67,0.7789
33.9,25.77,0.7154
33.92,25.89,0.7316
33.95,26,0.7061
33.97,26.11,0.7128
34,26.22,0.8582
34.03,26.34,0.9776
34.06,26.46,0.9618
34.08,26.57,0.9496
34.1,26.68,0.9827
34.12,26.78,0.9695
34.13,26.89,0.9559
34.16,27,1.0106
34.17,27.09,1.0658
34.17,27.19,1.073
34.19,27.29,1.0557
32.83,27.59,0.7057
32.8,27.49,0.5964
32.78,27.37,0.6278
32.76,27.26,0.7215
